"Ссылка","Описание источника","Категория"
http://dvinaland.org/genealogy/,"Архангельская область (требуется регистрация)","Источники"
http://edoclib.gasrb.ru/,"Башкортостан","Источники"
http://92.244.225.225:8082/,"Воронежская область (требуется авторизация)","Источники"
http://pokolenia.permkrai.ru/records/,"Пермская область (см. там же населённые пункты и карты Пермской области)","Источники"
http://cgaso.regsamarh.ru/,"Самарская область (требуется авторизация)","Источники"
https://spbarchives.ru/,"Санкт Петербуг","Источники"
http://www.lvva-raduraksti.lv/ru/about.html,"Латвия","Источники"
http://www.sukuhistoria.fi/sshy/index_eng.htm,"Финляндия","Источники"
http://www.ra.ee/dgs/explorer.php,"Эстония","Источники"
http://elib.shpl.ru/ru/nodes/9086,"Адрес-календари, памятные и справочные книги","Источники"
http://book-old.ru/,"Адрес-календари губерний России и их карты","Источники"
http://book-old.ru/BookLibrary/00100-Statistika-Rossii.html,"Статистика и переписи России","Источники"
http://retromap.ru/,"Ретрокарты","Источники"
http://oldmoscowmaps.ru/,"Старые карты Москвы","Источники"
https://pastvu.com/,"Старые фотографии Москвы","Источники"
http://maps.litera-ru.ru/,"Литера Ру","Источники"
http://officers.wardoc.ru/,"Офицеры 1812 года","Источники"
http://www.winterwar.karelia.ru/,"Зимняя война. Безвозвратные потери Красной Армии в период Советско-финляндской войны 1939-1940 гг.","Источники"
http://www.patriot-izdat.ru/memory/memorybook/,"Книга памяти советско-финляндской войны","Источники"
http://kronos.narc.fi/sfv1/sfv1.html,"Военопленные, погибшие во время Зимней войны в 1939-1940 годах в Финляндии","Источники"
http://cavalier.rusarchives.ru/,"Георгиевские кавалеры Великой войны","Источники"
http://gwar.elar.ru/,"Портал, посвященный героям Первой мировой войны 1914 — 1918","Источники"
http://kdkv.narod.ru/92/GK-WW1.html,"Георгиевские кавалеры","Источники"
http://medalirus.ru/georgievskie-kavalery/prikazy/prikazy-alfavit.php,"Списки Георгиевских кавалеров 1914-1918","Источники"
http://www.history-ryazan.ru/node/13050,"Георгиевские кавалеры нижние чины, награжденные за отличие в 1-й Мировой войне","Источники"
http://svrt.ru/1914/1914-4.htm,"Георгиевские кавалеры - участники Первой мировой войны","Источники"
http://interbrigades.inforost.org/,"Интербригады Республиканской армии Испании","Источники"
http://wwii.germandocsinrussia.org/,"Германские документы Первой мировой войны","Источники"
http://kronos.narc.fi/karelija/karelija.html,"Погибшие в гражданских лагерях восточной Карелии в 1941–1944 годах","Источники"
http://kronos.narc.fi/miehikkala/ru/,"Гражданские лица, погибшие в 1941–44 годах в лагерях района Миехиккяля","Источники"
http://kronos.narc.fi/saksa/ru/,"Немецкие военнопленные, погибшие осенью 1944 года","Источники"
http://rgaspi-458-9.dlibrary.org/ru/nodes/1-kollektsiya-dokumentov-spetssluzhb-germanii-1912-1945-gg-rgaspi-fond-458-opis-9,"Коллекция документов спецслужб Германии 1912-1945 гг.","Источники"
http://www.dokst.ru/node/1118,"База данных о военопленных","Источники"
http://www.dokst.de/main/node/1114,"База данных осуждённых немцев","Источники"
http://arcticwar.pomorsu.ru/memorial/voennoplen/voen.html,"Военопленные в Норвегии","Источники"
http://gda.arkivverket.no/cgi-win/webcens.exe?slag=visbase&filnamn=krgfang1&spraak=e&metanr=2510,"Военопленные в Норвегии","Источники"
http://kronos.narc.fi/sfv2/sfv2.html,"Военнопленные, погибшие на войне между Финляндией и Советским Союзом в 1941–1944 годах","Источники"
http://www.obd-memorial.ru/,"Великая Отечественная война 1941-1945 (ОБД Мемориал)","Источники"
http://www.podvignaroda.mil.ru/,"Портал Подвиг народа в Великой Отечественной войне 1941-1945 гг.","Источники"
http://germandocsinrussia.org/,"Российско-Германский проект по оцифровке германских документов в архивах Российской Федерации","Источники"
http://ipc.antat.ru/Ref/allq.asp,"Межрегиональный информационно-поисковый центр (требуется авторизация)","Источники"
http://www.warheroes.ru/main.asp,"Список Героев Советского Союза","Источники"
http://encyclopedia.mil.ru/encyclopedia/gentlemens.htm,"Список полных кавалеров Ордена Славы","Источники"
https://pamyat-naroda.ru/,"Память народа 1941-1945","Источники"
http://militera.org/,"Военная литература","Источники"
http://oldgazette.ru/,"Старые газеты","Источники"
http://elib.shpl.ru/indexes/values/6264,"Военная история","Источники"
http://www.warheroes.ru/,"Герои страны","Источники"
http://iremember.ru/,"Воспоминания ветеранов Великой Отечественной Войны","Источники"
http://memorybook.volgadmin.ru/,"Волгоградская область","Источники"
http://may1945-pobeda.narod.ru/kniga_pamjati5.htm,"Калининградская область","Источники"
http://pobeda.onego.ru/,"Республика Карелия","Источники"
http://obd-pobeda.karelia.ru/,"Республика Карелия","Источники"
http://memobook.midural.ru/index/ru/memobook,"Свердловская область","Источники"
